step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER
573.0,CASH_OUT,157449.1,C1944679751,0.0,0.0,C1524497501,6349260.54,6506709.64,0.0,0,1,0,0,0
206.0,PAYMENT,660.54,C749120653,0.0,0.0,M513201809,0.0,0.0,0.0,0,0,0,1,0
206.0,PAYMENT,16652.7,C167788939,0.0,0.0,M1748477551,0.0,0.0,0.0,0,0,0,1,0
133.0,PAYMENT,9682.84,C306313611,5535.0,0.0,M362417538,0.0,0.0,0.0,0,0,0,1,0
95.0,PAYMENT,1081.52,C209592466,40199.0,39117.48,M1146312939,0.0,0.0,0.0,0,0,0,1,0
373.0,CASH_OUT,109355.15,C497249745,0.0,0.0,C1149211980,1930839.51,2040194.66,0.0,0,1,0,0,0
276.0,CASH_IN,91270.52,C309475938,6463.0,97733.52,C463905149,104888.0,0.0,0.0,1,0,0,0,0
202.0,CASH_OUT,91461.94,C2074805793,0.0,0.0,C892468500,222748.28,314210.22,0.0,0,1,0,0,0
190.0,PAYMENT,11899.14,C901150187,28202.0,16302.86,M711002794,0.0,0.0,0.0,0,0,0,1,0
183.0,TRANSFER,144795.0,C1354431081,44698.0,0.0,C1816052374,6266.42,151061.43,0.0,0,0,0,0,1
129.0,DEBIT,8181.86,C438696634,269835.76,261653.9,C982677310,214495.78,222677.64,0.0,0,0,1,0,0
399.0,CASH_OUT,70145.17,C298506497,0.0,0.0,C480491806,1288767.6,1358912.77,0.0,0,1,0,0,0
203.0,CASH_IN,2323.67,C577884620,2247867.54,2250191.21,C1613040866,56794.31,54470.64,0.0,1,0,0,0,0
144.0,CASH_IN,297446.37,C1248131986,1350236.8,1647683.17,C1797978785,419984.38,122538.0,0.0,1,0,0,0,0
401.0,CASH_IN,270037.16,C908243757,2417257.89,2687295.05,C1910963690,754564.47,484527.31,0.0,1,0,0,0,0
34.0,CASH_IN,196137.04,C1646957006,17355.0,213492.04,C165735147,395060.59,198923.55,0.0,1,0,0,0,0
637.0,CASH_IN,39774.0,C701234278,20977.0,60751.0,C1852871499,0.0,0.0,0.0,1,0,0,0,0
229.0,CASH_OUT,114035.13,C1594508383,0.0,0.0,C1398178514,1034315.39,1148350.52,0.0,0,1,0,0,0
217.0,PAYMENT,1067.32,C1773576719,62632.0,61564.68,M899312892,0.0,0.0,0.0,0,0,0,1,0
42.0,CASH_IN,103427.06,C870065294,16.0,103443.06,C756112680,0.0,0.0,0.0,1,0,0,0,0
